id,name,category,subcategory,brand,price,old_price,discount_percent,final_price,stock,rating,review_count,image_url
32,Meril Baby Oil 100ml,Baby Food & Care,Baby Bath & Skincare,Meril,280,280,0,280,60,4.6,79,https://d2t8nl1y0ie1km.cloudfront.net/images/692ed714d5287d4d62f6345a_Meril-Baby-Oil-100ml_1.webp
33,Foster Clark's Corn Flour+400gm (Tin),Baking Needs,Atta Maida & Suji,Foster Clark's,430,430,0,430,40,4.4,43,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66827b5ae605f3fd35f16d06_Foster-Clarks-Corn-Flour400gm-Tin_1.webp
34,Teer Mustard Oil 250ml,Oil,Mustard Oil,Teer,95,95,0,95,60,4.9,26,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66813504f077212bd74ef2da_Teer-Mustard-Oil-250ml_1.webp
35,Mr.Noodles Korean Kimchi Ramen 480gm,Snacks,Noodles,Mr.Noodles,210,210,0,210,80,4.2,108,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6853e29c0c1fa0ca8bae4abe_Mr-Noodles-Korean-Kimchi-Ramen-480gm_1.webp
36,Lunch Box 1590ml BL10349P,Kitchen Essentials,Storage & Containers,Generic,475,950,50,475,15,4.4,28,https://d2t8nl1y0ie1km.cloudfront.net/images/6a12fa0932485cd3a20b0694_Lunch-Box-1590ml-BL10349P_1.webp
37,Shwapno Moog Dal 1kg,Dal or Lentil,Packed Daal,Shwapno,165,175,6,165,30,4.7,28,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84ae673683244576a8f8_Shwapno-Moog-Dal-1Kg_1.webp
38,Twinings Green Tea & Lemon 50(+)10gm (25 Tea Bag),Tea,Green Tea,Twinings,880,880,0,880,20,4.5,40,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93a6115075f231ec4c6a_Twinings-Green-Tea-Lemon-5010gm-25-Tea-Bag_1.webp
39,Nescafe Gold Coffee 47.5(+)2.5gm,Coffee,Instant Coffee,Nescafe,545,750,27,545,25,4.7,58,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa93ad115075f231ec4cc6_Nescafe-Gold-Coffee-47-52-5gm_1.webp
40,Calendar Anarosh (Pineapple) 600gm+ Per Pcs,Fruits & Vegetables,Fresh Fruits,Local,42,42,0,42,25,4.4,30,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/665e84bc673683244576a964_Pineapple-Calendar-Anarosh_1.webp
41,Shomoi New Gift Bag Small,Toys & Sports,Toys Items,Shomoi,99,99,0,99,50,4.6,41,https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp
42,Suito Calorie & Fat Free Sweetener 25 Sachet,Salt & Sugar,Sugar,Suito,77.5,77.5,0,77.5,60,3.9,80,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/66844d4af2321da2357f5fb6_Suito-Calo-Fat-Free-Sweetener-25-Sachet_1.webp
43,Cadbury Dairy Milk Silk Oreo Chocolate 130(+)5gm,Food,Candy & Chocolate,Cadbury,519,550,6,519,25,4.1,66,https://d2t8nl1y0ie1km.cloudfront.net/images/6875ffea8e2959ae3f7b1382_Cadbury-Dairy-Milk-Silk-Oreo-Chocolate-130gm_1.webp
44,Aarong Dairy Chocolate Milk Drink UHT 200ml,Liquid & UHT Milk,Milk Others,Aarong Dairy,35,35,0,35,15,4.1,9,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9502115075f231ec6917_Aarong-Dairy-Choco-Milk-UHT-Flavor-200ml_1.webp
45,Supta Balloon Heart,Toys & Sports,Toys Items,Supta,99,99,0,99,40,3.9,39,https://d2t8nl1y0ie1km.cloudfront.net/images/default-product.webp
46,Khezur (Dates) Dubai Dabbas Loose,Fruits & Vegetables,Dry Fruits,Local,625,625,0,625,60,4.1,84,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9764d61902ef2307c9d2_Dates-Khezur-Dabbas-Loose_1.webp
47,ACI Pure Cumin (Jeera) Powder 200gm (Jar),Spices,Regular Spice,ACI,320,330,3,320,100,3.9,66,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/6853e2490c1fa0ca8bae4624_Aci-Pure-Cumin-Powder-200gm-Jar_1.webp
48,Fresh Kitchen Towel Single Pack White,Home & Kitchen,Kitchen Accessories,Fresh,85,85,0,85,50,4.1,59,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa9578115075f231ecc642_Fresh-Kitchen-Towel-Single-Pack-White_1.webp
49,Diamond Aluminium Foil Paper 37.5 Sq. Ft.,Home & Kitchen,Kitchen Accessories,Diamond,125,125,0,125,20,4.5,38,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa955f115075f231ecc503_Diamond-Aluminium-Foil-Paper-37-5-Sq-Ft-_1.webp
50,Ifad Cheesy Bites Biscuits 180(+)10gm,Biscuits,Biscuits Others,Ifad,85,100,15,85,50,4.2,85,https://d2t8nl1y0ie1km.cloudfront.net/images/thumbs/65fa967fd61902ef2307b2bf_Ifad-Cheesy-Bites-Biscuits-18010gm_1.webp
